load_scenario,load_scenario_idx,horizon_step,load,p_mw,q_mvar
25,22363,0,0,0.004097360090167257,0.0
25,22363,0,1,17.859688788080895,10.452444590259326
25,22363,0,2,63.47668091286935,12.803152201109528
25,22363,0,3,35.24058553065571,-2.8752778989447125
25,22363,0,4,4.270782502180072,0.8991121057221205
25,22363,0,5,8.850560015650654,5.926714296194635
25,22363,0,6,0.004097360090167257,0.0
25,22363,0,7,0.004097360090167257,0.0
25,22363,0,8,22.09319160895773,12.432101040972825
25,22363,0,9,6.788527856530829,4.3748290630976445
25,22363,0,10,2.4975168583132783,1.2844372414182577
25,22363,0,11,4.484198514116885,1.1761832168175437
25,22363,0,12,11.891387285793739,5.108892315378051
25,22363,0,13,11.318928217770122,3.7982980596544036
26,22364,0,0,0.004097360090167257,0.0
26,22364,0,1,17.97696348584428,10.521080012452643
26,22364,0,2,67.40813719336279,13.5961210899564
26,22364,0,3,35.66079870699119,-2.909563074419783
26,22364,0,4,4.497343314385958,0.9468091188180965
26,22364,0,5,9.027765372669364,6.045378597769664
26,22364,0,6,0.004097360090167257,0.0
26,22364,0,7,0.004097360090167257,0.0
26,22364,0,8,21.808035639137167,12.271640393548372
26,22364,0,9,6.872903543738184,4.4292045059646075
26,22364,0,10,2.5275740649763545,1.2998952334164111
26,22364,0,11,4.453911105979378,1.1682389786175418
26,22364,0,12,12.023586404067036,5.165688973599171
26,22364,0,13,11.538922181323974,3.8721215373570383
27,22365,0,0,0.006176575336715118,0.0
27,22365,0,1,18.20992737796838,10.657422935493015
27,22365,0,2,67.90264252913778,13.695862081248595
27,22365,0,3,35.18434235112785,-2.8706890202803064
27,22365,0,4,4.646976863457897,0.9783109186227151
27,22365,0,5,9.037268215367476,6.051742108505007
27,22365,0,6,0.006176575336715118,0.0
27,22365,0,7,0.006176575336715118,0.0
27,22365,0,8,22.26312618934311,12.527725245528666
27,22365,0,9,6.874749781769051,4.430394303806721
27,22365,0,10,2.540215160733047,1.306396368376996
27,22365,0,11,4.43002196647525,1.1619729748131804
27,22365,0,12,12.10888881875345,5.202337418427408
27,22365,0,13,11.593386295759231,3.8903980858252454
28,22366,0,0,0.006113658535022992,0.0
28,22366,0,1,18.075229907519606,10.578590775368617
28,22366,0,2,67.7570841383214,13.66650317014975
28,22366,0,3,35.46668334922089,-2.893725210501286
28,22366,0,4,4.785148081557809,1.0073995961174336
28,22366,0,5,8.991301662673864,6.020960934826249
28,22366,0,6,0.006113658535022992,0.0
28,22366,0,7,0.006113658535022992,0.0
28,22366,0,8,21.669372189588714,12.193612825327886
28,22366,0,9,6.784663654610357,4.372338799637785
28,22366,0,10,2.541213687385804,1.3069098963698422
28,22366,0,11,4.419677704079198,1.1592597256601176
28,22366,0,12,12.083398631695644,5.191386078802573
28,22366,0,13,11.446168196724066,3.8409960391691502
29,22367,0,0,0.0018286542408727513,0.0
29,22367,0,1,18.004035475316424,10.536923987858
29,22367,0,2,67.27417918038333,13.569101957826785
29,22367,0,3,34.23164429672462,-2.7929584258833895
29,22367,0,4,4.866792994522257,1.024587998846791
29,22367,0,5,8.771156698795947,5.87354243222943
29,22367,0,6,0.0018286542408727513,0.0
29,22367,0,7,0.0018286542408727513,0.0
29,22367,0,8,21.049629849746637,11.844876457823531
29,22367,0,9,6.5664715172273525,4.2317260888798485
29,22367,0,10,2.516361550716934,1.2941287975115663
29,22367,0,11,4.353138375003654,1.1418067868862045
29,22367,0,12,11.85902991488052,5.094990630096816
29,22367,0,13,11.182357307026221,3.7524688949752423
30,22368,0,0,-0.00447338869579994,-0.0
30,22368,0,1,17.68904953951655,10.352577380270054
30,22368,0,2,66.17282426772974,13.346960308777758
30,22368,0,3,32.83072102547668,-2.6786571547983065
30,22368,0,4,4.698645251304969,0.9891884739589408
30,22368,0,5,8.619017349309509,5.7716634035554755
30,22368,0,6,-0.00447338869579994,-0.0
30,22368,0,7,-0.00447338869579994,-0.0
30,22368,0,8,20.26257693024862,11.401992442106003
30,22368,0,9,6.317504551543134,4.071280710994464
30,22368,0,10,2.4501234820918523,1.2600635050758098
30,22368,0,11,4.232387338897294,1.1101343839730609
30,22368,0,12,11.478136593763287,4.9313475736168195
30,22368,0,13,10.805658223464224,3.626059806531619
31,22369,0,0,0.011212140065184784,0.0
31,22369,0,1,17.497088897154832,10.240231750869418
31,22369,0,2,66.1046372586475,13.333207090385375
31,22369,0,3,32.29843896156969,-2.6352282834753513
31,22369,0,4,4.528930509626683,0.9534590546582491
31,22369,0,5,8.417660360189016,5.636826134055145
31,22369,0,6,0.011212140065184784,0.0
31,22369,0,7,0.011212140065184784,0.0
31,22369,0,8,19.89769945110126,11.196671555534946
31,22369,0,9,6.169031632413021,3.975598163110613
31,22369,0,10,2.382364307261125,1.2252159294485787
31,22369,0,11,4.211189558110307,1.104574310324015
31,22369,0,12,11.421731681045207,4.9071143518564595
31,22369,0,13,10.552536250701118,3.5411195472151404
32,22370,0,0,0.005252808648323892,0.0
32,22370,0,1,17.147916191907797,10.035877218305485
32,22370,0,2,61.52825563328596,12.410157717966381
32,22370,0,3,32.264148564449144,-2.632430531409031
32,22370,0,4,4.239838538711953,0.8925975870972533
32,22370,0,5,8.237640123967488,5.516276868728229
32,22370,0,6,0.005252808648323892,0.0
32,22370,0,7,0.005252808648323892,0.0
32,22370,0,8,19.579922970096874,11.017854959444342
32,22370,0,9,5.8405289470164155,3.7638964325216895
32,22370,0,10,2.3255445137507023,1.1959943213575042
32,22370,0,11,4.131903655110526,1.083778007897843
32,22370,0,12,11.134074213209084,4.783528180489829
32,22370,0,13,10.209180527607112,3.425899505908427
33,22371,0,0,-0.004639933170869526,-0.0
